"before","donate","condition","amount"
1,0,"open-ended",NA
1,0,"open-ended",NA
0,0,"open-ended",NA
0,0,"open-ended",NA
0,0,"open-ended",NA
1,0,"open-ended",NA
0,1,"open-ended",15
0,1,"open-ended",15
1,1,"quantity",5
0,1,"quantity",20
1,1,"quantity",20
0,0,"quantity",NA
0,1,"quantity",5
1,1,"quantity",25
0,1,"quantity",1
0,1,"quantity",5
0,0,"quantity",NA
1,1,"quantity",3
1,1,"quantity",10
1,0,"open-ended",NA
0,1,"open-ended",1
0,1,"open-ended",5
0,0,"quantity",NA
0,1,"quantity",10
1,0,"quantity",NA
1,0,"quantity",NA
1,1,"quantity",5
0,1,"quantity",2
0,1,"open-ended",5
1,0,"quantity",NA
1,1,"quantity",25
1,1,"quantity",20
1,1,"quantity",25
0,0,"open-ended",NA
1,0,"open-ended",NA
1,1,"open-ended",1
0,1,"open-ended",2
1,1,"open-ended",0.5
0,1,"quantity",5
1,1,"quantity",2
1,1,"quantity",10
0,1,"quantity",5
1,0,"open-ended",NA
1,1,"quantity",25
0,0,"quantity",NA
0,1,"quantity",10
0,1,"quantity",5
1,1,"quantity",15
1,1,"quantity",5
1,1,"quantity",10
0,0,"quantity",NA
0,0,"quantity",NA
1,1,"quantity",5
1,1,"open-ended",10
1,1,"quantity",5
0,1,"quantity",10
0,1,"quantity",10
1,0,"open-ended",NA
0,1,"open-ended",1
0,1,"open-ended",2
1,1,"open-ended",25
1,0,"quantity",NA
1,0,"quantity",NA
1,1,"quantity",20
1,0,"quantity",NA
0,0,"open-ended",NA
0,0,"open-ended",NA
0,1,"open-ended",0.25
1,1,"quantity",10
0,0,"quantity",NA
1,1,"quantity",5
1,1,"open-ended",5
1,1,"open-ended",5
1,1,"quantity",2.5
1,1,"quantity",10
0,1,"quantity",5
1,0,"open-ended",NA
0,0,"open-ended",NA
1,1,"open-ended",20
0,1,"open-ended",1
1,1,"open-ended",10
1,1,"quantity",10
1,1,"quantity",10
1,1,"quantity",5
1,1,"quantity",10
0,0,"quantity",NA
0,0,"open-ended",NA
1,1,"open-ended",15
1,1,"open-ended",5
1,1,"open-ended",25
1,1,"open-ended",5
0,1,"open-ended",10
1,1,"open-ended",12.5
1,1,"open-ended",1
1,0,"quantity",NA
1,1,"quantity",5
1,1,"quantity",5
1,1,"quantity",15
1,1,"quantity",15
1,1,"quantity",20
1,1,"open-ended",5
1,1,"quantity",5
1,1,"quantity",5
0,0,"open-ended",NA
0,0,"open-ended",NA
1,1,"quantity",5
0,1,"quantity",5
1,1,"quantity",10
0,0,"quantity",NA
0,1,"quantity",15
1,0,"open-ended",NA
0,0,"open-ended",NA
1,1,"open-ended",15
1,1,"open-ended",10
0,1,"quantity",15
1,1,"quantity",25
0,0,"quantity",NA
1,1,"quantity",25
1,1,"quantity",15
1,1,"quantity",5
1,1,"open-ended",1
1,1,"open-ended",2
0,1,"open-ended",25
0,0,"quantity",NA
1,1,"quantity",12.5
1,1,"quantity",25
0,1,"quantity",25
0,1,"quantity",20
0,0,"open-ended",NA
1,0,"open-ended",NA
0,1,"open-ended",20
0,1,"quantity",15
0,1,"quantity",15
1,1,"quantity",5
0,1,"quantity",15
0,0,"open-ended",NA
0,0,"open-ended",NA
1,1,"open-ended",5
0,1,"open-ended",1
1,1,"quantity",15
0,1,"quantity",5
1,0,"quantity",NA
0,1,"quantity",5
1,0,"open-ended",NA
1,1,"open-ended",5
1,1,"quantity",10
0,1,"quantity",15
0,1,"quantity",10
1,0,"quantity",NA
0,0,"open-ended",NA
0,0,"open-ended",NA
0,0,"open-ended",NA
1,1,"open-ended",5
0,1,"open-ended",25
1,1,"quantity",5
0,0,"quantity",NA
1,1,"quantity",25
1,1,"quantity",25
1,1,"quantity",5
1,0,"quantity",NA
1,1,"open-ended",15
1,1,"open-ended",5
1,1,"open-ended",25
1,1,"open-ended",25
1,1,"open-ended",15
0,1,"open-ended",25
1,1,"open-ended",10
1,1,"quantity",25
1,1,"quantity",5
1,1,"quantity",10
1,1,"quantity",5
1,1,"quantity",5
1,1,"quantity",20
1,1,"quantity",25
1,0,"open-ended",NA
1,0,"open-ended",NA
1,1,"open-ended",10
1,1,"quantity",25
0,1,"quantity",5
0,1,"quantity",10
1,1,"quantity",5
1,1,"quantity",15
0,0,"open-ended",NA
0,0,"open-ended",NA
1,1,"open-ended",4
1,1,"open-ended",10
1,1,"open-ended",25
1,1,"open-ended",25
1,1,"open-ended",20
1,1,"open-ended",10
1,1,"quantity",25
0,1,"quantity",5
1,0,"quantity",NA
1,1,"quantity",25
1,1,"quantity",15
0,1,"quantity",5
0,1,"quantity",20
1,1,"quantity",15
1,1,"open-ended",5
0,1,"open-ended",5
1,1,"open-ended",15
1,1,"open-ended",5
0,1,"quantity",25
1,1,"quantity",1
0,1,"quantity",15
1,1,"quantity",10
1,0,"quantity",NA
1,1,"quantity",25
0,1,"open-ended",5
1,1,"quantity",10
0,1,"quantity",5
1,1,"quantity",20
1,1,"quantity",20
1,1,"quantity",5
0,0,"quantity",NA
0,1,"open-ended",15
1,1,"quantity",20
1,0,"quantity",NA
0,1,"quantity",20
0,1,"quantity",20
0,1,"open-ended",5
0,1,"open-ended",5
1,1,"quantity",5
1,0,"quantity",NA
0,0,"open-ended",NA
1,1,"open-ended",15
1,1,"open-ended",25
1,1,"open-ended",5
1,1,"open-ended",15
0,1,"open-ended",0.25
0,1,"quantity",2.5
1,1,"quantity",10
0,1,"quantity",5
0,1,"quantity",10
0,1,"quantity",15
1,1,"quantity",5
0,1,"open-ended",10
1,1,"quantity",5
0,1,"quantity",5
0,1,"quantity",10
1,1,"quantity",10
1,0,"quantity",NA
0,0,"open-ended",NA
1,0,"quantity",NA
1,1,"quantity",10
0,1,"quantity",5
1,1,"quantity",5
0,1,"quantity",5
1,1,"quantity",10
1,1,"open-ended",15
0,1,"open-ended",5
1,1,"quantity",12.5
1,1,"quantity",10
0,1,"quantity",5
1,0,"quantity",NA
1,0,"open-ended",NA
1,1,"open-ended",10
1,1,"open-ended",10
1,1,"quantity",10
0,0,"quantity",NA
1,0,"open-ended",NA
0,1,"open-ended",1
1,1,"open-ended",2
1,1,"open-ended",1
1,1,"open-ended",5
1,1,"open-ended",20
1,1,"quantity",5
0,1,"quantity",5
1,1,"open-ended",10
1,1,"open-ended",10
1,1,"quantity",12.5
1,1,"quantity",25
0,0,"open-ended",NA
1,0,"open-ended",NA
1,0,"open-ended",NA
0,0,"open-ended",NA
1,1,"open-ended",10
0,0,"quantity",NA
1,0,"open-ended",NA
1,1,"open-ended",15
1,1,"quantity",2.5
1,0,"quantity",NA
0,1,"open-ended",10
1,0,"quantity",NA
1,1,"quantity",25
1,1,"quantity",5
0,0,"quantity",NA
1,1,"quantity",10
1,1,"quantity",25
1,0,"quantity",NA
0,0,"open-ended",NA
1,0,"open-ended",NA
1,1,"open-ended",1
0,1,"open-ended",10
1,1,"open-ended",20
1,1,"quantity",15
0,0,"quantity",NA
0,1,"open-ended",2
1,1,"open-ended",15
1,1,"open-ended",25
1,1,"open-ended",10
0,1,"quantity",15
1,0,"open-ended",NA
0,1,"open-ended",10
0,1,"open-ended",5
1,1,"quantity",12.5
1,1,"open-ended",10
0,0,"quantity",NA
1,1,"quantity",25
0,1,"quantity",5
1,1,"quantity",10
0,1,"open-ended",25
0,1,"quantity",10
1,0,"open-ended",NA
1,0,"open-ended",NA
0,1,"open-ended",10
1,0,"open-ended",NA
0,0,"open-ended",NA
0,1,"open-ended",25
0,1,"quantity",10
1,1,"open-ended",15
0,0,"quantity",NA
1,1,"quantity",5
1,0,"quantity",NA
0,1,"quantity",2
1,1,"quantity",25
1,0,"open-ended",NA
0,1,"open-ended",20
1,1,"open-ended",15
1,1,"quantity",15
1,1,"open-ended",10
1,1,"open-ended",10
0,1,"quantity",5
1,1,"quantity",5
1,0,"open-ended",NA
1,1,"open-ended",10
0,1,"open-ended",10
1,1,"quantity",10
1,1,"quantity",10
0,1,"quantity",5
0,0,"open-ended",NA
0,1,"quantity",5
0,1,"quantity",5
1,0,"open-ended",NA
0,0,"open-ended",NA
0,1,"open-ended",7
1,1,"open-ended",10
1,1,"open-ended",10
0,1,"open-ended",5
1,1,"quantity",10
0,1,"quantity",10
1,0,"open-ended",NA
1,1,"open-ended",5
1,1,"open-ended",15
0,1,"open-ended",5
0,0,"open-ended",NA
1,0,"quantity",NA
1,1,"open-ended",5
0,1,"open-ended",20
1,1,"open-ended",15
1,0,"open-ended",NA
1,0,"open-ended",NA
1,0,"open-ended",NA
0,1,"open-ended",5
1,1,"open-ended",10
1,1,"quantity",10
0,0,"quantity",NA
0,1,"quantity",15
1,0,"open-ended",NA
0,0,"quantity",NA
1,0,"quantity",NA
0,1,"quantity",5
1,0,"open-ended",NA
1,0,"open-ended",NA
1,1,"open-ended",20
1,1,"quantity",25
0,1,"quantity",5
0,0,"open-ended",NA
1,0,"open-ended",NA
1,1,"open-ended",10
1,1,"open-ended",20
0,1,"quantity",10
1,1,"quantity",15
1,1,"open-ended",10
0,0,"quantity",NA
1,0,"quantity",NA
1,1,"quantity",5
0,1,"quantity",5
0,1,"open-ended",5
0,1,"open-ended",2
1,1,"quantity",5
1,1,"open-ended",1
0,1,"quantity",5
1,1,"quantity",20
1,0,"quantity",NA
0,1,"quantity",20
0,0,"open-ended",NA
0,0,"quantity",NA
1,1,"quantity",25
0,1,"quantity",5
0,0,"open-ended",NA
0,1,"quantity",5
0,0,"quantity",NA
1,1,"quantity",15
1,1,"quantity",15
1,1,"quantity",10
1,1,"quantity",10
1,1,"open-ended",10
0,1,"quantity",25
